cvegeo,centroide
0900200010148,POINT (-99.20999103230426 19.49800417483359)
0900200010190,POINT (-99.19254637998139 19.49463412992796)
0900200010932,POINT (-99.18368719529241 19.50616408771367)
0900200010237,POINT (-99.21180432269375 19.49133525302505)
0900200010595,POINT (-99.21643545490872 19.48226097920902)
0900200010608,POINT (-99.21447537672591 19.477458871732)
0900200010612,POINT (-99.21741053959585 19.47886928969458)
0900200010627,POINT (-99.21823939887285 19.47598181602018)
0900200011038,POINT (-99.21142081732457 19.47579455129649)
0900200011076,POINT (-99.20995135376496 19.48659111668472)
0900500010900,POINT (-99.1492695023034 19.49801519639622)
0900200011080,POINT (-99.21448681829611 19.48524544138903)
0900200011165,POINT (-99.16518145321483 19.50163433774059)
0900200011042,POINT (-99.20695882259791 19.47447865724134)
0900200010665,POINT (-99.19313485266321 19.47424216557346)
0900200010010,POINT (-99.20596561238541 19.51301154962311)
0900200010025,POINT (-99.20060947622207 19.51249829898489)
090020001003A,POINT (-99.20789958452623 19.50996679780439)
0900200011150,POINT (-99.1748953982067 19.50329505725362)
0901500010432,POINT (-99.13714771724844 19.45125827313835)
0900200011023,POINT (-99.19443134700651 19.48057658886993)
0900200010684,POINT (-99.18741049119291 19.46830862200305)
0900200010913,POINT (-99.1942306151474 19.51077781482379)
0900200010928,POINT (-99.19770416380577 19.50425865916193)
0900200010044,POINT (-99.20297034003318 19.50974220941147)
090020001081A,POINT (-99.18181439377275 19.46087741634253)
090020001010A,POINT (-99.20258261651666 19.50639224222713)
0900200010167,POINT (-99.20068190926563 19.4994584171875)
0900200010097,POINT (-99.20694687980652 19.50679840618469)
0901500010447,POINT (-99.13515267742456 19.45124634578579)
0900200010114,POINT (-99.18714525335827 19.50003938695501)
0900200010186,POINT (-99.19554339238965 19.49794281082329)
0900200010260,POINT (-99.19823022844776 19.49239530336949)
0900200010415,POINT (-99.14896218983871 19.47597768332907)
0900200010472,POINT (-99.18682775061788 19.47595437326359)
0900200010542,POINT (-99.16062991150632 19.46910737490257)
0900200010580,POINT (-99.14639827948761 19.46975995310508)
0900200010650,POINT (-99.20054388044538 19.47527010098658)
090020001067A,POINT (-99.18468733529777 19.47216727181646)
0900200010769,POINT (-99.15544739192958 19.46667835007083)
0900200010788,POINT (-99.14655849842576 19.465862535437)
0900200010792,POINT (-99.1864391587533 19.46333493634047)
0900200010824,POINT (-99.17386491692584 19.4602664131432)
0900200010858,POINT (-99.16310865499838 19.4606424448236)
0900200010398,POINT (-99.1563864067914 19.47534315138828)
0900200010877,POINT (-99.16236101525354 19.49272581549671)
0900200010881,POINT (-99.16053839471265 19.4837135468573)
0900200011057,POINT (-99.16779718368782 19.46554157572701)
0900200011061,POINT (-99.16433177630316 19.46317593493185)
0900200011112,POINT (-99.19530933812057 19.50862654985182)
090020001117A,POINT (-99.20928293913238 19.5063120335854)
0900200010843,POINT (-99.16764681712584 19.4598820147178)
0900200010966,POINT (-99.20948661163915 19.50356343964126)
0900200010379,POINT (-99.16015820318076 19.47629326027946)
0900200010275,POINT (-99.19807896666686 19.4886470730908)
090020001028A,POINT (-99.19157937206525 19.48978961376099)
0900200010294,POINT (-99.19302812118721 19.48610406872271)
0900200010307,POINT (-99.18772407297568 19.48825130565933)
0900200010311,POINT (-99.18461553206951 19.48354262758695)
0900200010326,POINT (-99.18112524949669 19.48654493901041)
0900200010330,POINT (-99.17672153416129 19.48721528549202)
0900200010345,POINT (-99.17722386858894 19.48152089572453)
0900200010383,POINT (-99.15550589073649 19.47881009007892)
090020001035A,POINT (-99.17078236988161 19.48111933977472)
0900200010468,POINT (-99.18794447424139 19.48250682811346)
0900200010487,POINT (-99.18228571252516 19.48031975344042)
0900200010491,POINT (-99.17938478368842 19.47711007510622)
0900200010504,POINT (-99.17789125968865 19.47291600873798)
0900200010519,POINT (-99.17353028262148 19.4712696598073)
0900200011127,POINT (-99.19273183318477 19.50655709294419)
0900200010171,POINT (-99.20103443511125 19.49518124523501)
0900200010364,POINT (-99.16330118522161 19.47518701047215)
0900200010561,POINT (-99.15171342136617 19.47073027340643)
0900200010576,POINT (-99.14915130331083 19.47079496176051)
0900200010947,POINT (-99.18623645116816 19.50518922467431)
0900200010896,POINT (-99.17293116887488 19.47291805784746)
0900200011184,POINT (-99.20607851719932 19.50238838414683)
0900200010256,POINT (-99.20487724832196 19.48835018201092)
0900200010129,POINT (-99.17832441840125 19.49853618566103)
0900200010133,POINT (-99.18075104715494 19.49527500061458)
0900200010203,POINT (-99.18463645837258 19.49388769338224)
0900200010218,POINT (-99.1860679776822 19.49120707912047)
0900200010716,POINT (-99.17450402437761 19.46602577353191)
0900200010222,POINT (-99.17836994236147 19.49133069722221)
0900200010400,POINT (-99.1523479181881 19.47575128194742)
0900200010434,POINT (-99.19998142535364 19.48508936324655)
0900200010449,POINT (-99.20192843897512 19.48051605635537)
0900200010557,POINT (-99.15536634435129 19.47171446822676)
0900200010631,POINT (-99.20855416096315 19.48008507336305)
0900200010699,POINT (-99.18036772087467 19.46857017373074)
0900200010701,POINT (-99.18025103708084 19.4654545266386)
0900200011019,POINT (-99.19936317256608 19.48145833812002)
0900200010720,POINT (-99.16843314294169 19.46832081515655)
090020001074A,POINT (-99.16481598870035 19.46980383138796)
0900200010754,POINT (-99.16278593427471 19.46641001312499)
0900200010773,POINT (-99.15026543667997 19.4653089324808)
0900200010805,POINT (-99.18046002823824 19.46310086909676)
0900200010839,POINT (-99.16933205043583 19.46370662135326)
0900200010909,POINT (-99.17083105529261 19.47287107917687)
0900200010985,POINT (-99.20244235926896 19.49668790162757)
0900200011004,POINT (-99.20437013453427 19.49202434879736)
0901600010196,POINT (-99.17439453196489 19.45047081025984)
0900200011095,POINT (-99.20757269853915 19.48322426872322)
0900200010970,POINT (-99.20468537193598 19.4984464971374)
090020001099A,POINT (-99.20545753876691 19.49448445030446)
0900200011131,POINT (-99.1666467592307 19.47310445920857)
0900200011146,POINT (-99.16680211730848 19.47184845587621)
0900300011783,POINT (-99.1751780576691 19.30467768142662)
0900300010357,POINT (-99.11596310677065 19.34023732029481)
0900300010361,POINT (-99.18708509006613 19.3402661425176)
0900300011425,POINT (-99.1412913549662 19.30370165920054)
0900300010728,POINT (-99.13324897576875 19.3253527930049)
090030001054A,POINT (-99.18280306363064 19.33616596400291)
0900300010111,POINT (-99.17669585629001 19.34869040215356)
0900300011092,POINT (-99.1050296196897 19.30344571281884)
0900300010906,POINT (-99.12079260726783 19.31894126042098)
0900300011444,POINT (-99.12055143134616 19.30468967376932)
0900300010770,POINT (-99.18503195181937 19.32150904594698)
0900300010018,POINT (-99.17084223474102 19.35431256755955)
0900300011764,POINT (-99.10659183439242 19.32576707112634)
0900300011266,POINT (-99.11522397020762 19.32995050859139)
0900300011105,POINT (-99.19479293363392 19.30661897853552)
0900300011618,POINT (-99.17032035373305 19.30444820601813)
0900300011073,POINT (-99.11569079301451 19.30368260557847)
0900300010037,POINT (-99.16168878741931 19.35456867344922)
0900300011660,POINT (-99.16107900664385 19.30305428685664)
0900300011694,POINT (-99.12580438936178 19.30622010431821)
0900300011730,POINT (-99.13315202372065 19.31489180087661)
090030001175A,POINT (-99.12117361190568 19.32207882331337)
0900300011779,POINT (-99.10593520323573 19.32311161717351)
0900300011798,POINT (-99.17272560827067 19.30351368590224)
0900300010060,POINT (-99.1478480699258 19.35359472312292)
0900300011139,POINT (-99.14079804217563 19.33666761423551)
0900300010022,POINT (-99.16525691488923 19.35541830586644)
0900300010041,POINT (-99.1556609141236 19.35581206794709)
090030001008A,POINT (-99.13289188284647 19.35253182680281)
0900300010075,POINT (-99.14037928419513 19.35140012483779)
090030001015A,POINT (-99.15431272752816 19.346453553769)
0900300010713,POINT (-99.1323605227679 19.32967136523444)
0900300011124,POINT (-99.14967033847341 19.30308640453103)
0900300010094,POINT (-99.12990017082201 19.35551608288115)
0900300010107,POINT (-99.12459161665346 19.35448738893495)
0900300010130,POINT (-99.16511503798279 19.34826848321455)
0900300010179,POINT (-99.13496646721245 19.34785199230119)
0900300010234,POINT (-99.18254086634789 19.34412996142693)
0900300011228,POINT (-99.13113884578179 19.34080620659664)
0900300010412,POINT (-99.17863856634233 19.33797236810348)
0900300011641,POINT (-99.16592885719761 19.30480542237354)
0900300011656,POINT (-99.15839955842542 19.30507618719389)
090030001168A,POINT (-99.12846467633166 19.30837177547222)
0900300011707,POINT (-99.12561091333048 19.32594071240498)
0901600010317,POINT (-99.21475947593159 19.45103491901017)
0900300011726,POINT (-99.13408420624799 19.31697596920264)
0900300011745,POINT (-99.12124785761742 19.32627215787066)
0900300011317,POINT (-99.11066357377584 19.32687990658954)
0900300011478,POINT (-99.10505890628558 19.31744584324437)
0900300011143,POINT (-99.13885049526938 19.3362233109849)
0900300011529,POINT (-99.18263447083089 19.30529750708508)
0900300011675,POINT (-99.13083848999261 19.31154667678083)
0900300010164,POINT (-99.14390985501171 19.34448406176901)
0900300010183,POINT (-99.1338706259606 19.34365588108465)
0900300010198,POINT (-99.13000895532639 19.34805621803873)
0900300010200,POINT (-99.1253864222262 19.34619834732364)
0900300010215,POINT (-99.12288486427227 19.34856824924335)
090030001022A,POINT (-99.11951579543485 19.34240194383532)
0900300010249,POINT (-99.17928782922971 19.3445607865896)
0900300010268,POINT (-99.17165720708076 19.34454600090493)
0900300010889,POINT (-99.12882002877005 19.31784370862867)
0900300010380,POINT (-99.1838182472755 19.33974828237761)
0900300010395,POINT (-99.18080916866636 19.3408683339632)
0900300010408,POINT (-99.18117998184795 19.33758057211132)
0900300010535,POINT (-99.12018216696842 19.33522854258321)
0900300010821,POINT (-99.15697353122103 19.31767481561708)
0900300010836,POINT (-99.15169563049012 19.31794687068691)
0900300010840,POINT (-99.1479541205522 19.31759610531258)
0900300010855,POINT (-99.14364345332656 19.3178079427805)
0901600011353,POINT (-99.21996231309082 19.43385209476927)
0900300010893,POINT (-99.12671776627872 19.31396777190589)
090030001093A,POINT (-99.11316066980457 19.31372860471985)
0900300011020,POINT (-99.14188787328446 19.31338953009062)
090030001129A,POINT (-99.11776964323265 19.32177362875649)
090030001136A,POINT (-99.11670523227708 19.31517045883573)
0900300011374,POINT (-99.11766216243598 19.31313160735751)
0900300011389,POINT (-99.10994911452123 19.31992412500551)
0900500012894,POINT (-99.10222749364046 19.50900825283723)
0900300011393,POINT (-99.11135052177032 19.31877502556877)
0900300011406,POINT (-99.10942435786092 19.31644027462416)
090030001143A,POINT (-99.11938287742475 19.30929615878192)
090030001150A,POINT (-99.10633175658545 19.30912563291254)
0900300011514,POINT (-99.1027114107288 19.31017732292404)
0900300011533,POINT (-99.17800558342782 19.30761420546522)
0900300011548,POINT (-99.17510662580149 19.3088463362623)
0900300011552,POINT (-99.17276030724145 19.30945382792605)
0900300011567,POINT (-99.17074360802955 19.31079717668897)
0900300011571,POINT (-99.17724062672083 19.30644332409154)
0900300011586,POINT (-99.1743375500734 19.30712770229033)
0900300011590,POINT (-99.17140749038356 19.30823238457945)
0900300011482,POINT (-99.10218702725028 19.31718872285228)
0900300010516,POINT (-99.12552776624129 19.33675705415562)
0900300010145,POINT (-99.16014758074044 19.34765688762324)
0900300010287,POINT (-99.16177279511558 19.34167278337546)
0900300010291,POINT (-99.15066230896309 19.34025674193904)
0900300010304,POINT (-99.14604603520468 19.33932931092906)
0900300010319,POINT (-99.13866611119299 19.34069914302789)
0900300010323,POINT (-99.13769417738455 19.33873838458867)
0900300010342,POINT (-99.12501724056351 19.34084391767444)
0900300010376,POINT (-99.18590033160184 19.33923432945363)
