cvegeo,centroide
0900300011336,POINT (-99.11182602830073 19.32223346618044)
0900300010427,POINT (-99.17000802532522 19.33970303597753)
0900300010959,POINT (-99.10719710295375 19.31965504545405)
0900300010431,POINT (-99.16843623793379 19.33709212819099)
0900300010446,POINT (-99.15818791040249 19.33702852735805)
0900300010696,POINT (-99.14070110338714 19.32829375846785)
0900300010450,POINT (-99.15237125028695 19.33705673810309)
0900300010465,POINT (-99.14409896840533 19.3349739518915)
0900300010484,POINT (-99.13905417658989 19.33423829627629)
0900300010499,POINT (-99.13502259468726 19.33543080773594)
0900300010501,POINT (-99.13062664961195 19.33460829732842)
0900300010520,POINT (-99.12620522118128 19.33399182228426)
0900300010963,POINT (-99.16549200563664 19.31323572177384)
0900300010978,POINT (-99.15931853327739 19.30978424405472)
0900300010785,POINT (-99.17060508140965 19.32376714004665)
0900300011162,POINT (-99.16614756873757 19.33227272704027)
0900300011232,POINT (-99.13033314406232 19.34062484343547)
0900300011247,POINT (-99.11958899328415 19.33080890763847)
0900300011251,POINT (-99.1150382002252 19.33271319545478)
0900300011270,POINT (-99.1183176350029 19.3266730801403)
0900300011285,POINT (-99.11522178467688 19.32633195487297)
0900300011321,POINT (-99.11140513712506 19.32478405198937)
0900300010554,POINT (-99.17564995197921 19.33300267819764)
0900300010573,POINT (-99.1532320468024 19.33090888989607)
090030001061A,POINT (-99.17192372537326 19.32933469585787)
0900300010709,POINT (-99.13797423583509 19.32828013289768)
0900300010605,POINT (-99.11283276060638 19.3322532103107)
0900300010624,POINT (-99.16697266791859 19.32860857823166)
0900300010639,POINT (-99.16305296061461 19.326992530404)
0900300010643,POINT (-99.15798293259488 19.32252739780629)
0900300011213,POINT (-99.11165353208919 19.30408247250879)
0900300010658,POINT (-99.15480802034755 19.32490652104883)
0900300011497,POINT (-99.1040539969259 19.31377004355195)
0900300010662,POINT (-99.14868548125278 19.3244335739663)
090030001079A,POINT (-99.16947755755464 19.31731804588858)
090030001086A,POINT (-99.13424507542226 19.32077243140111)
0900300010802,POINT (-99.16657231197428 19.32217243407925)
0900300010817,POINT (-99.16176124486736 19.31822422867966)
0900300010982,POINT (-99.15253483993921 19.31372094107615)
0900300010997,POINT (-99.1524136125153 19.31064119227197)
0900500011078,POINT (-99.14835058489007 19.48953236290184)
0900300011001,POINT (-99.1523951231862 19.30692312536645)
0900300011016,POINT (-99.14549505568002 19.31259617119926)
0900300011069,POINT (-99.11365479261626 19.30882449712237)
0900300011410,POINT (-99.13775909961475 19.31141833841662)
0900300011340,POINT (-99.12168610170734 19.31557657226879)
0900300011355,POINT (-99.12223755500234 19.31304698425232)
0900300011459,POINT (-99.10404258521987 19.32104018187611)
0900500010436,POINT (-99.16311242504759 19.52085967559945)
0900300011463,POINT (-99.10071201327887 19.31655900883099)
0900300011622,POINT (-99.16938263258666 19.30741199175889)
0900300011637,POINT (-99.16721758050103 19.30863463449458)
0900300010126,POINT (-99.17062215787026 19.34827517415229)
0900300010588,POINT (-99.12549282818456 19.3308996221961)
0900300010056,POINT (-99.1526430755016 19.35080369601494)
0900300011302,POINT (-99.11533425456311 19.32241269182929)
0900300011158,POINT (-99.16247045077267 19.33414148998922)
0900300010272,POINT (-99.17510863414579 19.34190294077681)
0900300010677,POINT (-99.14387375072444 19.32396553554258)
0900300010681,POINT (-99.14354683492111 19.32782486821333)
0900500012396,POINT (-99.07018789808446 19.45224518095775)
0900300011181,POINT (-99.10972960121046 19.3118947320995)
0900400010049,POINT (-99.27305092885503 19.37248569863763)
0900400010119,POINT (-99.30291804396232 19.34537166411029)
0900500013286,POINT (-99.14619395178259 19.55823021278421)
0900400010123,POINT (-99.29179045268035 19.34941461899389)
0900400010138,POINT (-99.27906764498661 19.34075615502377)
0900400200388,POINT (-99.32551934576799 19.33873270958009)
0900500011716,POINT (-99.06544385929959 19.47793211023784)
0900400010176,POINT (-99.2654515961472 19.39044058234749)
0900400010227,POINT (-99.31898198689201 19.35381511430415)
0900500010493,POINT (-99.15648036325194 19.50491895943988)
0900400010250,POINT (-99.292222278859 19.32883824855719)
0900400010231,POINT (-99.31013686502052 19.34829176239994)
0900400010299,POINT (-99.2975638704655 19.36162288100869)
0900400010320,POINT (-99.2886737483626 19.3410644476516)
0900400010053,POINT (-99.28989841565902 19.37240909735095)
090050001174A,POINT (-99.1368573823181 19.46667778904828)
0900400010369,POINT (-99.27352178077538 19.35880834385727)
0900400010208,POINT (-99.30506139597645 19.36127604659749)
0900400010373,POINT (-99.27044595384864 19.34893356227255)
0900400010405,POINT (-99.27935343313472 19.37867202429636)
0900400200246,POINT (-99.32649742311399 19.330466270194)
0900400010301,POINT (-99.29467698993903 19.36544628537039)
0900400010104,POINT (-99.28843949399614 19.35906424664295)
0900400200316,POINT (-99.33172318183378 19.31350365907711)
090040001002A,POINT (-99.28529905028903 19.37523265126028)
090040001041A,POINT (-99.28100707286782 19.37059871141366)
0900500010224,POINT (-99.14960265976143 19.53744735990556)
0900400010180,POINT (-99.25909004400822 19.38785490412284)
0900400010195,POINT (-99.25648196507764 19.3839326658805)
0900400010392,POINT (-99.31975372528669 19.34688663947549)
090040001034A,POINT (-99.28856967237978 19.36857326076937)
090050001110A,POINT (-99.1392839014256 19.48745923796638)
0900400010072,POINT (-99.2916752209717 19.3676420458711)
0900400010212,POINT (-99.28640246426011 19.355597294204)
090040001027A,POINT (-99.28640528806004 19.37074555241939)
0900400010354,POINT (-99.28684450777739 19.36473211359159)
090050001014A,POINT (-99.1548889729421 19.54830578154008)
0900500010703,POINT (-99.08255078659194 19.50427399699099)
0900400010091,POINT (-99.30207045849107 19.35468680321271)
0900500013360,POINT (-99.11614299323422 19.50864449403713)
0900500013411,POINT (-99.12982222216769 19.54071194153121)
0900500010366,POINT (-99.17221109179032 19.52737951729328)
0900500012536,POINT (-99.11740785800895 19.56634311808745)
0900500012305,POINT (-99.09963944857682 19.45161307476858)
0900500010277,POINT (-99.15510253090699 19.52897513126055)
0900500011171,POINT (-99.09632770613095 19.49337887688918)
0900500011167,POINT (-99.10102851667605 19.49359059253877)
0900500013356,POINT (-99.12783761191366 19.51234723556799)
0900500012998,POINT (-99.12539330175987 19.54630076391848)
0900500010421,POINT (-99.16785510970476 19.52281667672566)
090050001085A,POINT (-99.0767170942225 19.50121489433981)
0900500010629,POINT (-99.128850370878 19.50347847800933)
0900500012042,POINT (-99.06154428052078 19.46520480241593)
0900500012288,POINT (-99.1048034607705 19.45349078456335)
0900500012343,POINT (-99.08728707910441 19.44911441890787)
0900500012466,POINT (-99.05433132274463 19.45358438339107)
0900500012574,POINT (-99.13180344003652 19.52939562380382)
0900500011862,POINT (-99.10534106250347 19.46623564860315)
0900500011542,POINT (-99.06664413135947 19.48254808046999)
0900500011773,POINT (-99.12575999259973 19.46460721351644)
0900500012038,POINT (-99.06048487132873 19.46789971162961)
0900500010173,POINT (-99.15080245877861 19.54176875518287)
0900500013159,POINT (-99.06652448209023 19.49637029520661)
0900500010489,POINT (-99.15662298986757 19.51057443884032)
0900500010154,POINT (-99.14821710807436 19.54692556477175)
0900500012979,POINT (-99.1466785310558 19.56164809733537)
0900500012593,POINT (-99.13997862597664 19.57070269839489)
0900500013229,POINT (-99.12288416621773 19.54863875378154)
0900500013318,POINT (-99.13441847677362 19.57894380688814)
0900500012184,POINT (-99.119142124571 19.46051536120395)
0900500012964,POINT (-99.14330596987489 19.56581727153554)
0900500012983,POINT (-99.15527992592679 19.5560910431634)
0900500010385,POINT (-99.15980916471224 19.52447925499486)
090050001039A,POINT (-99.14971779834063 19.52373797355124)
0900500010417,POINT (-99.13480488065568 19.51942717174331)
0900500011222,POINT (-99.06916905267514 19.49091369083324)
0900500011557,POINT (-99.14323284920445 19.47579707813711)
0900500011487,POINT (-99.09798277466962 19.48407664771785)
0900500011720,POINT (-99.14210351162359 19.47308920980631)
0900500013017,POINT (-99.12063574221867 19.55494956569409)
0900500011735,POINT (-99.14126431705706 19.46941789670751)
0900500011769,POINT (-99.1298032514144 19.46460075762851)
0900500012273,POINT (-99.11096929658034 19.45534118724708)
0900500012381,POINT (-99.075565925706 19.45096369464003)
0900500011097,POINT (-99.13692766205995 19.49008163227462)
0900500012485,POINT (-99.05485455596941 19.44945686311305)
0900500013144,POINT (-99.06935925529719 19.49931675252631)
0900500012714,POINT (-99.05555517703424 19.45690644980644)
090050001231A,POINT (-99.09176569536363 19.4538329268951)
0900500012292,POINT (-99.09786317400561 19.45408380257091)
0900500010012,POINT (-99.13493463361858 19.56880303340487)
0900500010027,POINT (-99.1373797839931 19.56574529043652)
0900500012165,POINT (-99.07337293283661 19.46030495572273)
0900500012428,POINT (-99.06961381417969 19.44857251749572)
0900500012470,POINT (-99.06167334424848 19.44702932881177)
0900500010883,POINT (-99.15251060021171 19.49591008350129)
0900500011699,POINT (-99.07117444479823 19.47775233522075)
0900500013125,POINT (-99.13379075257151 19.50611749522789)
0900500013267,POINT (-99.14257640034867 19.56040604236121)
0900500013271,POINT (-99.14935585941363 19.55639811207819)
0900500013290,POINT (-99.15087211852564 19.51963320140057)
0900500013407,POINT (-99.09396776112396 19.48019821149642)
0900500012771,POINT (-99.1302712322348 19.54536680579213)
0900500011650,POINT (-99.09563884523656 19.47569433961007)
0900500012790,POINT (-99.14778572295839 19.53146822768381)
0900500011044,POINT (-99.075430198164 19.49520864510956)
0900500011059,POINT (-99.07033368383422 19.49411266324404)
0900500010258,POINT (-99.13884569975566 19.53269421671081)
0900500010262,POINT (-99.13954007815755 19.52939098264682)
0900500010309,POINT (-99.14602126117326 19.52467368616357)
0900500010845,POINT (-99.08435942881896 19.50061536864838)
0900500010879,POINT (-99.15374915652059 19.50072864231659)
0900500010987,POINT (-99.11265857869624 19.49703113743659)
0900500011006,POINT (-99.09485635710389 19.49627646956942)
0900500011025,POINT (-99.08680147334415 19.49671627467029)
090050001103A,POINT (-99.07969399756584 19.49701796155217)
0900500011129,POINT (-99.12001917664109 19.48836552457113)
0900500011133,POINT (-99.11093901308335 19.48956634104058)
0900500011186,POINT (-99.08878819235082 19.49262953748504)
0900500011190,POINT (-99.08306623610483 19.49268444879153)
0900500011218,POINT (-99.07350434159507 19.49166748187061)
0900500011241,POINT (-99.14583019100782 19.48322742815541)
0900500011260,POINT (-99.12251273728855 19.48445287794341)
0900500011275,POINT (-99.11855755215049 19.48082707635688)
090050001128A,POINT (-99.11055710045838 19.48501028901634)
0900500011294,POINT (-99.10509146688614 19.48684602449559)
0900500011307,POINT (-99.09667071642019 19.48981876375051)
0900500011311,POINT (-99.09025886754435 19.48925791570324)
0900500011326,POINT (-99.08459505443867 19.48917091888638)
0900500011345,POINT (-99.07658969882638 19.4868930234551)
090050001135A,POINT (-99.0718064400903 19.48762125563103)
0900500011379,POINT (-99.14426612771699 19.48076390268417)
0900500011398,POINT (-99.13753889172663 19.47670093408396)
090050001142A,POINT (-99.12319116469835 19.48163918096408)
0900500011468,POINT (-99.10367924221194 19.48412312819068)
0900500011472,POINT (-99.10121296625512 19.48438184040579)
0900500011881,POINT (-99.09803220861828 19.46675443330664)
0900500011504,POINT (-99.09099836161118 19.48667098606493)
0900500011523,POINT (-99.08025138084085 19.48397438547972)
0900500011538,POINT (-99.07329002676364 19.48394628323922)
0900500011561,POINT (-99.13244313643084 19.47417815358367)
0900500011576,POINT (-99.12940019348784 19.47454402085566)
0900500011580,POINT (-99.12748682958575 19.47410254984669)
0900500011595,POINT (-99.12575947740459 19.47340262564084)
0900500011608,POINT (-99.12413793358108 19.472839931796)
0900500011627,POINT (-99.10903356686289 19.47720209506831)
0900500013178,POINT (-99.0917262917212 19.49772062104557)
0900500011631,POINT (-99.09958645120476 19.4812813989616)
0900500011646,POINT (-99.10257576957223 19.47582124318325)
0900500012339,POINT (-99.08355021541166 19.45317669212937)
0900500011665,POINT (-99.08684725772594 19.48107775415936)
090050001167A,POINT (-99.08057602732337 19.48008913071898)
0900500011684,POINT (-99.07359407966683 19.48061083461123)
0900500011701,POINT (-99.0688634643968 19.47935035198168)
0900500013214,POINT (-99.12632098493894 19.54995728193386)
0900500011788,POINT (-99.11498254032587 19.47451173674001)
0900500011792,POINT (-99.1182162777221 19.47349843477668)
0900500010050,POINT (-99.13516182133601 19.55722018758594)
0900500012023,POINT (-99.06199637616218 19.47316442608255)
0900500010898,POINT (-99.15068134548726 19.49632366131086)
0900500010243,POINT (-99.13943244303594 19.53600349834744)
0900500012076,POINT (-99.10690982958107 19.46245223856992)
0900500012095,POINT (-99.10138248470761 19.4624992906693)
0900500012108,POINT (-99.10221581691314 19.46021645472209)
0900500012803,POINT (-99.14824305719742 19.52886632702131)
0900500012127,POINT (-99.09067495686622 19.46834310153955)
0900500012146,POINT (-99.09290701079836 19.46289787736873)
0900500012150,POINT (-99.08914348753505 19.46349828518045)
090050001217A,POINT (-99.11625027267745 19.4633685425363)
0900500012201,POINT (-99.11108365764281 19.45878615618817)
0900500012220,POINT (-99.10356744392664 19.45737521179797)
0900500012235,POINT (-99.0948895239268 19.45720934062173)
0900500012377,POINT (-99.06388555755885 19.45831534790003)
0900500012729,POINT (-99.13350947705253 19.56396733416651)
0900500010510,POINT (-99.15227276685557 19.50240945732308)
0900500011970,POINT (-99.07522434379409 19.47113181954629)
0900500010991,POINT (-99.10015586817579 19.49850212830093)
0900500010506,POINT (-99.15335930231458 19.50596820275677)
0900500010953,POINT (-99.13107863345182 19.49056497070547)
0900500010968,POINT (-99.12456454692526 19.49029109814606)
090050001092A,POINT (-99.14557798943373 19.49613083004951)
0900500010934,POINT (-99.14109283939325 19.49450000432101)
0900500010949,POINT (-99.13584844371024 19.49313934548589)
0900500011932,POINT (-99.06772673397934 19.47480520437362)
0900500011951,POINT (-99.08602510233378 19.47248228762789)
0900500012216,POINT (-99.10866791237143 19.45964722534623)
0900500012131,POINT (-99.08386392996847 19.46662732809074)
0900500010188,POINT (-99.14750991721522 19.53968485250592)
0900500010192,POINT (-99.14321512564571 19.54064154268076)
0900500012786,POINT (-99.15343126664727 19.53442162620432)
0900500010205,POINT (-99.13740065935583 19.54081998316783)
0900500013430,POINT (-99.12376438743416 19.58206638636309)
0900500010135,POINT (-99.15343512872045 19.55104118311302)
0900500010169,POINT (-99.13429544133196 19.54441827725564)
0900500010525,POINT (-99.14866438886256 19.5081121053174)
0900500010559,POINT (-99.13386716302942 19.51541511154349)
0900500010563,POINT (-99.12964986487657 19.51652857713919)
0900500010737,POINT (-99.12797663152821 19.49515538881734)
0900500010582,POINT (-99.12474050691995 19.50808260433219)
0900500010597,POINT (-99.1213018555713 19.50696618655406)
090050001060A,POINT (-99.12621193611049 19.50518824501681)
0900500010614,POINT (-99.13028904261328 19.50399690167641)
0900500010633,POINT (-99.12449027332893 19.50207864317958)
0900500011082,POINT (-99.14306335414724 19.49051555160174)
0900500010667,POINT (-99.10474921981887 19.50616180254205)
0900500010671,POINT (-99.0986810024539 19.50409043567739)
0900500010718,POINT (-99.13938167421661 19.50156908413081)
0900500010722,POINT (-99.13025045308569 19.4988294589003)
0900500010741,POINT (-99.12409636820369 19.49579244098957)
0900500010972,POINT (-99.11529127059764 19.49464795545878)
0900500010756,POINT (-99.12101765476289 19.49827898903376)
0900500010760,POINT (-99.11718874300567 19.49157676126623)
0900500010775,POINT (-99.11708367778959 19.49832210717141)
090050001078A,POINT (-99.11268852786773 19.50263684978842)
0900500010794,POINT (-99.11025562584584 19.50066782684465)
0900500010811,POINT (-99.09843174440599 19.50115725957574)
0900500010826,POINT (-99.09108065917306 19.50379203056735)
0900500010830,POINT (-99.09163786748694 19.50097053965217)
0900500011805,POINT (-99.11519798666443 19.46785081085396)
090050001181A,POINT (-99.1204756321245 19.46878026485132)
0900500011824,POINT (-99.12219388430401 19.46545854178542)
0900500011839,POINT (-99.11132630805263 19.47222131428124)
0900500011843,POINT (-99.10733135320554 19.47092194517413)
0900500011858,POINT (-99.10356885094102 19.46981809349066)
0900500011896,POINT (-99.09740912290485 19.47120269274129)
0900500011909,POINT (-99.08791086279992 19.47743411175125)
0900500011913,POINT (-99.08158935681891 19.47589143596728)
0900500011928,POINT (-99.07499411575695 19.47562764679103)
090050001199A,POINT (-99.06861489875085 19.47041791170962)
0900500013093,POINT (-99.14117969280096 19.54522666008048)
